Numb,manufacturer,oldmodel,newmodel
808,mitsubishi,outlander es sport,Outlander
809,mitsubishi,outlander gt sport,Outlander
810,mitsubishi,outlander phev gt,Outlander
811,mitsubishi,outlander phev sel,Outlander
812,mitsubishi,outlander se sport,Outlander
813,mitsubishi,outlander sport,Outlander
814,mitsubishi,outlander sport es,Outlander
815,mitsubishi,outlander sport se,Outlander
816,nissan,350z,350z
817,nissan,370z,370z
818,nissan,370z coupe 2d,370z
819,nissan,370z nismo coupe 2d,370z
820,nissan,altima 2,Altima
821,nissan,altima 2.5,Altima
822,nissan,altima 2.5 s,Altima
823,nissan,altima 2.5 sl,Altima
824,nissan,altima 2.5 sv,Altima
825,nissan,altima s,Altima
826,nissan,armada,Armada
827,nissan,cube,Cube
828,nissan,frontier,Frontier
829,nissan,frontier crew cab,Frontier
830,nissan,frontier crew cab pro-4x,Frontier
831,nissan,frontier crew cab sv,Frontier
832,nissan,frontier king cab s,Frontier
833,nissan,frontier king cab sv,Frontier
834,nissan,frontier sv,Frontier
835,nissan,juke,Juke
836,nissan,kicks,Kicks
837,nissan,leaf,Leaf
838,nissan,leaf s hatchback 4d,Leaf
839,nissan,maxima,Maxima
840,nissan,murano,Murano
841,nissan,murano s,Murano
842,nissan,murano sl,Murano
843,nissan,murano sl awd,Murano
844,nissan,nv200,Nv200
845,nissan,pathfinder,pathfinder
846,nissan,pathfinder se,pathfinder
847,nissan,quest,quest
848,nissan,rogue,Rogue
849,nissan,rogue s,Rogue
850,nissan,rogue select,Rogue
851,nissan,rogue sl,Rogue
852,nissan,rogue sport,Rogue
853,nissan,rogue sv,Rogue
854,nissan,sentra,Sentra
855,nissan,sentra s,Sentra
856,nissan,sentra s sedan 4d,Sentra
857,nissan,sentra sr,Sentra
858,nissan,sentra sv,Sentra
859,nissan,titan,Titan
860,nissan,titan crew cab sv pickup,Titan
861,nissan,titan single cab sv,Titan
862,nissan,titan xd,Titan
863,nissan,titan xd crew cab sv,Titan
864,nissan,versa,Versa
865,nissan,versa note,Versa
866,nissan,versa s,Versa
867,nissan,versa sv,Versa
868,nissan,xterra,Xterra
869,pontiac,bonneville,bonneville
870,pontiac,firebird,firebird
871,pontiac,g6,g6
872,pontiac,grand am,grand
873,pontiac,grand prix,grand
874,pontiac,gto,gto
875,pontiac,solstice,solstice
876,pontiac,torrent,torrent
877,pontiac,trans am,trans
878,pontiac,vibe,vibe
879,porsche,911,911
880,porsche,boxster,boxster
881,porsche,cayenne,cayenne
882,porsche,macan,macan
883,porsche,panamera,panamera
884,ram,1500 4x4,1500
885,ram,1500 big horn,1500
886,ram,1500 classic,1500
887,ram,1500 classic regular cab,1500
888,ram,1500 crew cab,1500
889,ram,1500 crew cab big horn,1500
890,ram,1500 crew cab laramie pickup,1500
891,ram,1500 crew cab tradesman,1500
892,ram,1500 express,1500
893,ram,1500 laramie,1500
894,ram,1500 laramie 4x4 gas,1500
895,ram,1500 quad cab,1500
896,ram,1500 quad cab express pickup,1500
897,ram,1500 quad cab harvest pickup,1500
898,ram,1500 regular cab tradesman,1500
899,ram,1500 slt,1500
900,ram,1500 sport,1500
901,ram,1500 sport 4x4 1/2 ton,1500
902,ram,2500,2500
903,ram,2500 4x4,2500
904,ram,2500 crew cab,2500
905,ram,2500 laramie,2500
906,ram,2500 longhorn mega 4x4,2500
907,ram,2500 slt,2500
908,ram,2500 tradesman,2500
909,ram,3500,3500
910,ram,3500 laramie,3500
911,ram,3500 mega cab,3500
912,ram,3500 slt,3500
913,ram,4500,4500
914,ram,5500,5500
915,ram,pickup 1500,1500
916,ram,pickup 1500 classic,1500
917,ram,pickup 2500,2500
918,ram,promaster 1500,promaster
919,ram,promaster 2500,promaster
920,ram,promaster cargo van,promaster
921,ram,promaster city,promaster
922,ram,promaster city cargo van,promaster
923,ram,ram,1500
924,rover,discovery sport,Discovery
925,rover,discovery sport hse,Discovery
926,rover,evoque,Evoque
927,rover,hse,Hse
928,rover,lr2,lr2
929,rover,lr4,lr4
930,rover,range evoque p250 se,Evoque
931,rover,sport,sport
932,rover,velar,velar
933,saturn,aura,aura
934,saturn,ion,ion
935,saturn,vue,vue
936,subaru,brz limited coupe 2d,Brz
937,subaru,crosstrek,Crosstrek
938,subaru,crosstrek 2.0i premium,Crosstrek
939,subaru,forester,forester
940,subaru,forester 2.5i premium,forester
941,subaru,forester 2.5x,forester
942,subaru,impreza,Impreza
943,subaru,impreza 2.0i premium,Impreza
944,subaru,impreza outback sport,Impreza
945,subaru,impreza wagon,Impreza
946,subaru,impreza wrx,Impreza
947,subaru,legacy,Legacy
948,subaru,legacy 2.5i premium,Legacy
949,subaru,legacy 2.5i premium sedan,Legacy
950,subaru,outback,outback
951,subaru,outback 2.5i,outback
952,subaru,outback 2.5i limited,outback
953,subaru,outback 2.5i premium,outback
954,subaru,outback limited,outback
955,subaru,wrx,wrx
956,subaru,wrx sedan 4d,wrx
957,subaru,wrx sti,wrx
958,subaru,wrx sti sedan 4d,wrx
959,subaru,xv crosstrek,Crosstrek
960,subaru,xv crosstrek premium,Crosstrek
961,tesla,model,3
962,tesla,model 3 standard range,3
963,tesla,model s,s
964,tesla,model s signature,s
965,toyota,4-runner,4-runner
966,toyota,4runner,4-runner
967,toyota,4runner limited,4-runner
968,toyota,4runner limited sport,4-runner
969,toyota,4runner sr5,4-runner
970,toyota,4runner sr5 4x4,4-runner
971,toyota,4runner sr5 sport utility,4-runner
972,toyota,avalon,avalon
973,toyota,avalon limited,avalon
974,toyota,avalon xls,avalon
975,toyota,c-hr,C-hr
976,toyota,camry,Camry
977,toyota,camry hybrid,Camry
978,toyota,camry le,Camry
979,toyota,camry le sedan 4d,Camry
980,toyota,camry se,Camry
981,toyota,camry solara,Camry
982,toyota,camry xle,Camry
983,toyota,corolla,corolla
984,toyota,corolla ce,corolla
985,toyota,corolla im hatchback 4d,corolla
986,toyota,corolla le,corolla
987,toyota,corolla le sedan 4d,corolla
988,toyota,corolla s,corolla
989,toyota,fj cruiser,fj cruiser
990,toyota,highlander,highlander
991,toyota,highlander limited,highlander
992,toyota,land cruiser,land cruiser
993,toyota,matrix,matrix
994,toyota,matrix xr,matrix
995,toyota,pickup,Maverick
996,toyota,prius,Prius
997,toyota,prius c,Prius
998,toyota,prius hybrid,Prius
999,toyota,prius two hatchback 4d,Prius
1000,toyota,prius v,Prius
1001,toyota,rav4,Rav4
1002,toyota,rav4 awd,Rav4
1003,toyota,rav4 limited,Rav4
1004,toyota,rav4 xle,Rav4
1005,toyota,scion tc,Scion
1006,toyota,scion xb,Scion
1007,toyota,sequoia,sequoia
1008,toyota,sequoia limited,sequoia
1009,toyota,sequoia sr5,sequoia
1010,toyota,sienna,Sienna
1011,toyota,sienna le,Sienna
1012,toyota,sienna xle,Sienna
1013,toyota,solara,solara
1014,toyota,tacoma,tacoma
1015,toyota,tacoma 4wd,tacoma
1016,toyota,tacoma 4x4,tacoma
1017,toyota,tacoma access cab,tacoma
1018,toyota,tacoma access cab pickup,tacoma
1019,toyota,tacoma access cab sr,tacoma
1020,toyota,tacoma access cab sr5,tacoma
1021,toyota,tacoma access cab trd,tacoma
1022,toyota,tacoma double cab,tacoma
1023,toyota,tacoma double cab pickup,tacoma
1024,toyota,tacoma double cab trd,tacoma
1025,toyota,tacoma prerunner,tacoma
1026,toyota,tacoma sr5,tacoma
1027,toyota,tacoma trd sport,tacoma
1028,toyota,tundra,tundra
1029,toyota,venza,venza
1030,toyota,yaris,yaris
1031,volkswagen,atlas,atlas
1032,volkswagen,atlas s 4motion sport,atlas
1033,volkswagen,atlas se 4motion,atlas
1034,volkswagen,beetle,beetle
1035,volkswagen,beetle 1.8t fleet,beetle
1036,volkswagen,cc,cc
1037,volkswagen,cc sport,cc
1038,volkswagen,eos komfort,eos
1039,volkswagen,eos sport convertible,eos
1040,volkswagen,golf,Golf
1041,volkswagen,golf 1.4t tsi,Golf
1042,volkswagen,golf alltrack tsi s,Golf
1043,volkswagen,golf gti,Golf
1044,volkswagen,golf gti s hatchback,Golf
1045,volkswagen,golf gti se hatchback,Golf
1046,volkswagen,golf sportwagen tsi s,Golf
1047,volkswagen,golf tdi sel,Golf
1048,volkswagen,gti,Golf
1049,volkswagen,jetta,jetta
1050,volkswagen,jetta 1.4t s sedan 4d,jetta
1051,volkswagen,jetta 1.4t sel,jetta
1052,volkswagen,jetta gli,jetta
1053,volkswagen,jetta s,jetta
1054,volkswagen,jetta se,jetta
1055,volkswagen,jetta sedan,jetta
1056,volkswagen,jetta sportwagen 2.0l,jetta
1057,volkswagen,jetta tdi,jetta
1058,volkswagen,new beetle,Beetle
1059,volkswagen,passat,Passat
1060,volkswagen,rabbit,rabbit
1061,volkswagen,tiguan,tiguan
1062,volkswagen,touareg,touareg
1063,volkswagen,touareg tdi sport suv,touareg
1064,volvo,xc60,xc60
1065,volvo,s40,s40
1066,volvo,s60,s60
1067,volvo,s80,s80
1068,volvo,s90 t5 momentum sedan 4d,s90
1069,volvo,xc60,xc60
1070,volvo,xc70,xc70
1071,volvo,xc90,xc90
